Frequency,Neighbourhood
0.01257008177695247,Arbutus-Ridge
0.01128450523158233,Dunbar-Southlands
0.13273577830946684,Fairview
0.08663357497410992,Grandview-Woodland
0.03699603613898511,Hastings-Sunrise
0.05120879905724387,Kensington-Cedar Cottage
0.013712816483948148,Kerrisdale
0.013391422347605614,Killarney
0.08320537085312288,Kitsilano
0.04363818162339749,Marpole
0.11705888654786988,Mount Pleasant
0.01364139556476092,Oakridge
0.048887619183658894,Renfrew-Collingwood
0.034067778452308684,Riley Park
0.0056065421561975505,Shaughnessy
0.012998607292075848,South Cambie
0.09213298575152662,Strathcona
0.044173838517301715,Sunset
0.015034103488911902,Victoria-Fraserview
0.11798735849730387,West End
0.013034317751669465,West Point Grey
